Family,Group
Badoero, Lunghi
Baseggio, Lunghi
Bragadin, Lunghi
Contarini, Lunghi
Corner, Lunghi
Dandolo, Lunghi
Faliero, Lunghi
Giustinian, Lunghi
Gradenigo, Lunghi
Dolfin, Lunghi
Morosini, Lunghi
Michiel, Lunghi
Polani, Lunghi
Sanudo, Lunghi
Barozzi, Lunghi
Bembo, Lunghi
Memmo, Lunghi
Querini, Lunghi
Soranzo, Lunghi
Tiepolo, Lunghi
Zane, Lunghi
Zeno, Lunghi
Zorzi, Lunghi
Salamon, Lunghi
Barbarigo, Curti
Donato, Curti
Foscari, Curti
Grimani, Curti
Gritti, Curti
Lando, Curti
Loredan, Curti
Malipiero, Curti
Marcello, Curti
Mocenigo, Curti
Moro, Curti
Priuli, Curti
Trivisan, Curti
Tron, Curti
Venier, Curti
Abramo, Curti
Agadi, Curti
Agnusdei, Curti
Albizzo, Curti
Amizzo, Curti
Armer, Curti
Arimondo, Curti
Avanzago, Curti
Baffo, Curti
Balbi, Curti
Barbaro, Curti
Barbo, Curti
Basadonna, Curti
Belegno, Curti
Benedetti, Curti
Bernardo, Curti
Bollani, Curti
Boldu, Curti
Bon, Curti
Bondumier, Curti
Briani, Curti
Calbo, Curti
Canal, Curti
Cappello, Curti
Caravello, Curti
Celsi, Curti
Civran, Curti
Cocco, Curti
Coppo, Curti
Correr, Curti
Dalle Boccole, Curti
Da Lezze, Curti
Da Mosto, Curti
Da Mula, Curti
Da Ponte, Curti
Da Riva, Curti
Diedo, Curti
Duodo, Curti
Emo, Curti
Erizzo, Curti
Fabriciaco, Curti
Ferro, Curti
Foscarini, Curti
Foscolo, Curti
Fradello, Curti
Gabrielli, Curti
Galanti, Curti
Gambarin, Curti
Ghisi, Curti
Grioni, Curti
Grisoni, Curti
Gussoni, Curti
Lanzuoli, Curti
Lombardo, Curti
Magno, Curti
Manolesso, Curti
Marin, Curti
Mazaman, Curti
Mengolo, Curti
Mezzo, Curti
Miani, Curti
Miegano, Curti
Minio, Curti
Minotto, Curti
Molin, Curti
Muazzo, Curti
Mussolino, Curti
Nadal, Curti
Nani, Curti
Navager, Curti
Navigroso, Curti
Orio, Curti
Pasqualigo, Curti
Pesaro, Curti
Pisani, Curti
Pizzamano, Curti
Polo, Curti
Premarin, Curti
Quintavalle, Curti
Sagredo, Curti
Selvo, Curti
Semitecolo, Curti
Sesendillo, Curti
Signolo, Curti
Steno, Curti
Storladi, Curti
Stornello, Curti
Surian, Curti
Talonico, Curti
Valaresso, Curti
Valier, Curti
Viaro, Curti
Vielmo, Curti
Vitturi, Curti
Volpe, Curti
Zaguri, Curti
Zancani, Curti
Zancaruol, Curti
Zantani, Curti
Zulian, Curti
Zusto, Curti
Acotanto, Curti
Agrinal, Curti
Bonomo, Curti
Costantino, Curti
Donadi, Curti
Marcimano, Curti
Massoli, Curti
Mastalizi, Curti
Ruzier, Curti
Ruzzini, Curti
Stanizi, Curti
Tonisto, Curti
Barison, Curti
Benedetti, Curti
Bondumier, Curti
Lion, Curti
Marmora, Curti
Molin, Curti
Surian, Curti
Addoldo, Curti
Agadi, Curti
Agrinal, Curti
Buoninsegna, Curti
Caotorta, Curti
Caroso, Curti
Dente, Curti
Diesello, Curti
Ferro, Curti
Grisoni, Curti
Mengolo, Curti
Papaciza, Curti
Quintavalle, Curti
Sesendillo, Curti
Vidor, Curti
Calergi, Curti
Caresini, Curti
Cicogna, Curti
Condulmiero, Curti
Darduin, Curti
Garzoni, Curti
Girardi, Curti
Lippomano, Curti
Longo, Curti
Mezzo, Curti
Nani, Curti
Negro, Curti
Orso, Curti
Paruta, Curti
Pasqualigo, Curti
Pecin, Curti
Polo, Curti
Renier, Curti
Storladi, Curti
Tagliapietra, Curti
Trevisan, Curti
Vendramin, Curti
Vizzamano, Curti
Zaccaria, Curti
Zusto, Curti
Albrizzi, Curti
Angaran, Curti
Antelmi, Curti
Ariberti, Curti
Barbaran, Curti
Belloni, Curti
Beregan, Curti
Berlendis, Curti
Bonfadini, Curti
Bonlini, Curti
Bonvicini, Curti
Bregonzi, Curti
Bressa, Curti
Cassetti, Curti
Catti, Curti
Condulmer, Curti
Conti, Curti
Correggio, Curti
Crotta, Curti
Dolce, Curti
Dondiorologio, Curti
Farsetti, Curti
Ferramosca, Curti
Ferro, Curti
Fini, Curti
Flangini, Curti
Fonseca, Curti
Fonte, Curti
Gambara, Curti
Ghedini, Curti
Gherardini, Curti
Giovanelli, Curti
Giupponi, Curti
Gozzi, Curti
Labia, Curti
Laghi, Curti
Lazzari, Curti
Lion Cavazza, Curti
Lombria, Curti
Lucca, Curti
Maccarelli, Curti
Maffetti, Curti
Manin, Curti
Martinelli, Curti
Medici, Curti
Minelli, Curti
Mora (S. Marcuola), Curti
Nave, Curti
Ottoboni, Curti
Papafava, Curti
Pasta, Curti
Piovene, Curti
Poli, Curti
Polvaro, Curti
Raspi, Curti
Ravagnin, Curti
Rubini, Curti
Sangiantoffetti, Curti
Santasoffia, Curti
Soderini, Curti
Statio, Curti
Tasca, Curti
Valmarana, Curti
Van Axel, Curti
Verdizzotti, Curti
Vianol, Curti
Widmann, Curti
Zacco, Curti
Zaguri, Curti
Zambelli (S. Giac. dell'Orio), Curti
Zanardi, Curti
Zenobio, Curti
Zolio, Curti
Zon, Curti
Acquisti, Curti
Arnaldi, Curti
Baglioni, Curti
Barzizza, Curti
Bellotto, Curti
Benzon (S. Vidal), Curti
Bettoni, Curti
Bonlini, Curti
Brandolini, Curti
Carminati, Curti
Castelli, Curti
Cavagnis, Curti
Celini, Curti
Codognola, Curti
Contenti, Curti
Cottoni, Curti
Curti, Curti
Fracassetti, Curti
Franceschi, Curti
Gallo, Curti
Gheltoff, Curti
Guerra, Curti
Grassi, Curti
Lin, Curti
Manfrotto, Curti
Manzoni, Curti
Martinengo, Curti
Mora (S. Felice), Curti
Morelli, Curti
Nosadini, Curti
Pelizzioli, Curti
Pepoli, Curti
Persico, Curti
Recanati, Curti
Redetti, Curti
Rezzonico, Curti
Rizzi, Curti
Romieri, Curti
Rota, Curti
Sandi, Curti
Scroffa, Curti
Semenzi, Curti
Spinelli, Curti
Toderini, Curti
Veronese, Curti
Vezzi, Curti
Zambelli (S. Stin), Curti
Zino, Curti
Buzzaccarini, Curti
Caiselli, Curti
Martinengo, Curti
Mussatti, Curti
Pindemonte, Curti
Pisani, Curti
Ottolini, Curti
Panciera, Curti
Borini, Curti
Spineda, Curti
Trento, Curti
